Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
2018-07-25,1999.0,2001.9,2002.0,1968.4,1977.5,1981.5,1979.25,1535492,3039127153.4,92993
2018-07-26,1981.5,1974.95,1985.0,1955.1,1956.0,1964.7,1968.67,3503036,6896326862.9,110618
2018-07-27,1964.7,1960.85,1964.65,1940.3,1943.75,1943.75,1948.53,2033977,3963271946.5,103516
2018-07-30,1943.75,1943.0,1954.7,1931.55,1944.3,1944.6,1942.3,1579251,3067386014.45,74802
2018-07-31,1944.6,1942.0,1947.0,1928.0,1947.0,1940.2,1934.85,2204803,4265970111.15,125163
2018-08-01,1940.2,1949.95,1981.55,1949.8,1973.0,1976.5,1972.85,2425180,4784507538.7,94019
2018-08-02,1976.5,1980.0,1985.0,1945.0,1947.5,1948.4,1960.41,1509287,2958815209.4,85680
2018-08-03,1948.4,1956.5,1982.05,1956.5,1978.0,1979.45,1973.58,1505131,2970498995.4,91920
2018-08-06,1979.45,1997.0,1998.95,1972.25,1975.05,1975.55,1981.25,1532249,3035769014.75,62917
2018-08-07,1975.55,1978.2,1979.15,1960.5,1969.0,1967.35,1967.34,1353560,2662908261.65,95485
2018-08-08,1967.35,1972.0,1978.3,1962.0,1975.0,1974.0,1969.57,1315062,2590100268.35,78555
2018-08-09,1974.0,1980.0,1980.8,1966.0,1978.0,1974.35,1974.51,2060297,4068073026.6,88956
2018-08-10,1974.35,1980.95,1996.5,1972.05,1992.0,1993.1,1985.67,2784105,5528317088.35,105306
2018-08-13,1993.1,1997.8,2004.25,1990.0,1999.5,2000.15,1998.04,3559575,7112184424.5,176860
2018-08-14,2000.15,1992.0,2024.6,1982.4,2000.0,2003.55,2010.34,3311765,6657770585.3,120349
2018-08-16,2003.55,2000.3,2020.05,1995.0,2009.1,2008.5,2008.49,2152065,4322407891.55,153660
2018-08-17,2008.5,2013.85,2021.9,2004.0,2010.0,2012.75,2012.85,1213731,2443058585.35,114738
2018-08-20,2012.75,2024.0,2024.0,2003.7,2014.15,2009.95,2011.43,1587032,3192197146.6,125610
2018-08-21,2009.95,2010.15,2024.0,2004.0,2014.0,2017.65,2015.38,1376866,2774903727.95,67624
2018-08-23,2017.65,2022.8,2038.0,2020.3,2033.9,2035.1,2030.81,3046791,6187460520.7,147069
2018-08-24,2035.1,2035.1,2046.0,2031.0,2041.6,2043.0,2041.86,1570533,3206801587.6,89779
2018-08-27,2043.0,2043.0,2059.0,2035.0,2050.05,2050.9,2051.79,1532702,3144788538.7,95164
2018-08-28,2050.9,2055.0,2072.0,2052.0,2069.95,2069.2,2065.5,1987983,4106175143.6,108533
2018-08-29,2069.2,2072.5,2076.6,2045.6,2073.25,2072.0,2065.1,1525867,3151066991.15,88327
2018-08-30,2072.0,2068.0,2085.0,2065.5,2081.25,2082.4,2078.06,2408020,5003999131.15,125517
2018-08-31,2082.4,2082.3,2092.0,2074.0,2078.0,2078.4,2082.1,2504554,5214722720.85,137612
2018-09-03,2078.4,2084.8,2090.0,2048.4,2050.3,2052.9,2072.5,1439711,2983803308.9,66713
2018-09-04,2052.9,2059.8,2104.75,2056.95,2100.0,2098.9,2093.77,4420803,9256152898.55,272369
2018-09-05,2098.9,2100.0,2107.25,2075.05,2077.0,2079.25,2086.52,1681106,3507659103.7,125377
2018-09-06,2079.25,2075.0,2081.5,2060.3,2074.5,2075.3,2070.41,2238097,4633767811.5,123504
